customer_id,cluster
SYNID0100000167,individual_2
SYNID0100000431,individual_3
SYNID0100000485,individual_3
SYNID0100000539,individual_3
SYNID0100000932,individual_5
SYNID0100001185,individual_4
SYNID0100001300,individual_4
SYNID0100001310,individual_2
SYNID0100001952,individual_3
SYNID0100002045,individual_3
SYNID0100002163,individual_5
SYNID0100002187,individual_3
SYNID0100002198,individual_4
SYNID0100002385,individual_2
SYNID0100002875,individual_2
SYNID0100003249,individual_2
SYNID0100003319,individual_5
SYNID0100003755,individual_5
SYNID0100004490,individual_2
SYNID0100004580,individual_3
SYNID0100004593,individual_5
SYNID0100004629,individual_2
SYNID0100004657,individual_2
SYNID0100004837,individual_3
SYNID0100004848,individual_5
SYNID0100005297,individual_5
SYNID0100005641,individual_3
SYNID0100005686,individual_3
SYNID0100005856,individual_3
SYNID0100006155,individual_2
SYNID0100006219,individual_5
SYNID0100006262,individual_3
SYNID0100006348,individual_2
SYNID0100006667,individual_2
SYNID0100006800,individual_5
SYNID0100006895,individual_3
SYNID0100006941,individual_5
SYNID0100007436,individual_2
SYNID0100007570,individual_5
SYNID0100007620,individual_5
SYNID0100007638,individual_2
SYNID0100008358,individual_2
SYNID0100008611,individual_5
SYNID0100008961,individual_6
SYNID0100009174,individual_1
SYNID0100009213,individual_2
SYNID0100009417,individual_2
SYNID0100009470,individual_2
SYNID0100009541,individual_3
SYNID0100009578,individual_5
SYNID0100009762,individual_3
SYNID0100009956,individual_5
SYNID0100010089,individual_2
SYNID0100010329,individual_2
SYNID0100010571,individual_5
SYNID0100010698,individual_5
SYNID0100011209,individual_3
SYNID0100011315,individual_5
SYNID0100011481,individual_4
SYNID0100011849,individual_2
SYNID0100012045,individual_4
SYNID0100012111,individual_5
SYNID0100012205,individual_5
SYNID0100012410,individual_5
SYNID0100012464,individual_3
SYNID0100012512,individual_3
SYNID0100012539,individual_2
SYNID0100013163,individual_4
SYNID0100013722,individual_3
SYNID0100013886,individual_5
SYNID0100014085,individual_3
SYNID0100014233,individual_1
SYNID0100014489,individual_2
SYNID0100014795,individual_2
SYNID0100014851,individual_5
SYNID0100015045,individual_5
SYNID0100015109,individual_3
SYNID0100015225,individual_2
SYNID0100015975,individual_2
SYNID0100016064,individual_2
SYNID0100016314,individual_2
SYNID0100016895,individual_5
SYNID0100017219,individual_3
SYNID0100017804,individual_6
SYNID0100018428,individual_3
SYNID0100018441,individual_3
SYNID0100018558,individual_3
SYNID0100018651,individual_5
SYNID0100018816,individual_2
SYNID0100018982,individual_3
SYNID0100019186,individual_2
SYNID0100019260,individual_5
SYNID0100019419,individual_3
SYNID0100019645,individual_3
SYNID0100019726,individual_5
SYNID0100019883,individual_3
SYNID0100020142,individual_3
SYNID0100020166,individual_2
SYNID0100020197,individual_5
SYNID0100020265,individual_2
SYNID0100020731,individual_5
SYNID0100020773,individual_6
SYNID0100021218,individual_3
SYNID0100021236,individual_2
SYNID0100021299,individual_2
SYNID0100021463,individual_6
SYNID0100022238,individual_4
SYNID0100022248,individual_4
SYNID0100022308,individual_1
SYNID0100022897,individual_5
SYNID0100023259,individual_1
SYNID0100023475,individual_1
SYNID0100023734,individual_3
SYNID0100023889,individual_3
SYNID0100024328,individual_2
SYNID0100024437,individual_2
SYNID0100024598,individual_4
SYNID0100024772,individual_3
SYNID0100024936,individual_1
SYNID0100025173,individual_4
SYNID0100025567,individual_2
SYNID0100025619,individual_3
SYNID0100025622,individual_5
SYNID0100025820,individual_5
SYNID0100026243,individual_5
SYNID0100026488,individual_2
SYNID0100026603,individual_5
SYNID0100026730,individual_2
SYNID0100027385,individual_3
SYNID0100028117,individual_4
SYNID0100028203,individual_3
SYNID0100028625,individual_5
SYNID0100028682,individual_5
SYNID0100028742,individual_3
SYNID0100028784,individual_3
SYNID0100028955,individual_3
SYNID0100029550,individual_2
SYNID0100029659,individual_2
SYNID0100029977,individual_4
SYNID0100030114,individual_2
SYNID0100030522,individual_3
SYNID0100030710,individual_2
SYNID0100030983,individual_3
SYNID0100030996,individual_5
SYNID0100031148,individual_2
SYNID0100031276,individual_4
SYNID0100031448,individual_4
SYNID0100031720,individual_3
SYNID0100031724,individual_5
SYNID0100031730,individual_3
SYNID0100031829,individual_1
SYNID0100032192,individual_4
SYNID0100032279,individual_4
SYNID0100032627,individual_3
SYNID0100033027,individual_5
SYNID0100033322,individual_3
SYNID0100033763,individual_2
SYNID0100033846,individual_2
SYNID0100033968,individual_3
SYNID0100035506,individual_1
SYNID0100035641,individual_5
SYNID0100035690,individual_2
SYNID0100035703,individual_3
SYNID0100036197,individual_2
SYNID0100036671,individual_4
SYNID0100036688,individual_5
SYNID0100036773,individual_3
SYNID0100036786,individual_2
SYNID0100036935,individual_2
SYNID0100037007,individual_5
SYNID0100037208,individual_5
SYNID0100037226,individual_3
SYNID0100037366,individual_3
SYNID0100037477,individual_2
