customer_id,province,city,industry_code,sales_cents,account_age,birth_business_age,total_transaction_count,transaction_count_Card,transaction_count_Cheque,transaction_count_EFT,transaction_count_EMT,debit_transaction_count,debit_transaction_amount,credit_transaction_count,credit_transaction_amount,average_debit_transaction_amount,average_credit_transaction_amount,unique_transaction_cities,unique_transaction_provinces,multi_country_transactions,card_ecommerce_count,card_non_ecommerce_count,card_mcc_diversity_count,card_top_mcc_weight,card_top_mcc,Averagetime_between_transaction_day,std_time_between_transactions,median_time_between_transactions,pct_transactions_top10_busiest_days
SYNID0200000024,ON,BRAMPTON,other,181876.0,3.02,3.06,227.0,0.0,162.0,64.0,1.0,156.0,153795774.0,71.0,15960071.0,985870.346153846,224789.7323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.4069066494591937,0.7297427673047919,0.0259780092592592,22.026431718061676
SYNID0200000050,ON,TORONTO,other,250009.0,29.54,34.85,17.0,3.0,6.0,8.0,0.0,9.0,390213.0,8.0,1362181.0,43357.0,170272.625,2.0,2.0,1.0,1.0,2.0,3.0,0.3333333333333333,other,4.943933015046296,6.191158397141327,1.7981712962962964,29.411764705882355
SYNID0200000104,AB,EDMONTON,7215,217904.0,7.87,14.54,8.0,0.0,1.0,7.0,0.0,2.0,23362.0,6.0,4656669.0,11681.0,776111.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,9.42065806878307,7.300434721271009,6.999409722222223,12.5
SYNID0200000167,other,other,other,0.0,1.1,1.86,35.0,0.0,1.0,33.0,0.0,21.0,4357682.0,14.0,1627304.0,207508.66666666663,116236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,2.68349128540305,3.2592717125892925,1.3539293981481482,22.857142857142858
SYNID0200000345,other,other,9861,-1.0,22.04,22.07,22.0,0.0,5.0,17.0,0.0,15.0,3678618.0,7.0,1069901.0,245241.2,152843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,4.040189043209876,3.809686450718573,2.545520833333333,22.727272727272727
SYNID0200000439,ON,MISSISSAUGA,other,0.0,2.59,10.01,52.0,25.0,0.0,6.0,20.0,34.0,1370949.0,18.0,4110964.0,40322.02941176471,228386.88888888888,10.0,5.0,1.0,8.0,17.0,13.0,0.2,5812,1.7529727214960058,1.890832144263299,0.9489814814814816,21.153846153846157
SYNID0200000596,other,other,4561,106568.0,22.09,23.84,20.0,0.0,6.0,14.0,0.0,6.0,492650.0,14.0,1625647.0,82108.33333333333,116117.64285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,4.773500243664717,4.8912266618764,3.3308912037037035,20.0
SYNID0200000792,ON,other,other,0.0,11.09,10.01,80.0,0.0,9.0,71.0,0.0,54.0,24981817.0,26.0,5714286.0,462626.24074074073,219780.2307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,1.1492594057665262,1.3438435596665426,0.6495833333333333,25.0
SYNID0200000948,ON,other,7799,0.0,5.04,5.63,2.0,0.0,0.0,2.0,0.0,1.0,53854.0,1.0,94492.0,53854.0,94492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,13.36542824074074,2.369871980844547,13.36542824074074,50.0
SYNID0200000984,other,other,other,1484594.0,24.42,25.69,85.0,2.0,2.0,4.0,74.0,35.0,23775786.99,50.0,2764521.0,679308.1997142858,55290.42,4.0,3.0,1.0,0.0,2.0,2.0,0.5,5812,1.0814411100088184,1.3419419344061383,0.5523090277777778,18.823529411764707
SYNID0200001071,other,other,7771,59409.0,19.72,19.77,41.0,20.0,3.0,7.0,11.0,31.0,2152452.0,10.0,666605.0,69433.93548387097,66660.5,6.0,5.0,1.0,1.0,19.0,11.0,0.2,other,2.2572954282407407,2.19968617168187,1.3546296296296296,21.951219512195124
SYNID0200001467,other,other,other,0.0,8.07,14.3,118.0,0.0,3.0,71.0,44.0,52.0,9929589.0,66.0,23815093.0,190953.63461538465,360834.7424242424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.7796662314023425,1.031821453781107,0.3667129629629629,26.27118644067797
SYNID0200001746,other,other,other,0.0,8.71,8.74,309.0,209.0,2.0,83.0,15.0,257.0,27245972.0,52.0,35067999.0,106015.45525291828,674384.5961538461,39.0,11.0,1.0,29.0,180.0,44.0,0.1004784688995215,5542,0.2977695105820106,0.3705643272694027,0.15125,22.006472491909385
SYNID0200001747,other,other,7771,1.0,13.81,13.81,17.0,2.0,0.0,4.0,2.0,12.0,62386.0,5.0,189660.0,5198.833333333333,37932.0,5.0,5.0,1.0,0.0,2.0,2.0,0.5,5814,5.136301359953704,5.061075651797907,3.335775462962963,11.76470588235294
