customer_id,province,city,occupation_code,account_age,birth_business_age,transaction_count_ABM,transaction_count_EFT,transaction_count_EMT,debit_transaction_count,debit_transaction_amount,credit_transaction_count,credit_transaction_amount,average_debit_transaction_amount,average_credit_transaction_amount,unique_transaction_cities,unique_transaction_provinces,multi_country_transactions,card_ecommerce_count,card_non_ecommerce_count,card_mcc_diversity_count,card_top_mcc_weight,card_top_mcc,abm_cash_count,Averagetime_between_transaction_day,std_time_between_transactions,median_time_between_transactions,pct_transactions_top10_busiest_days,cheque_user,western_union_user,wire_user
SYNID0100000167,ON,TORONTO,10019,14.28,53.92,0.0,17.0,0.0,8.0,169868.0,10.0,986385.0,21233.5,98638.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,5.255900054466231,5.06456542604296,3.519861111111111,11.11111111111111,1.0,0.0,0.0
SYNID0100000431,other,other,OTHER,7.58,37.79,14.0,20.0,28.0,85.0,1149349.38,23.0,649001.25,13521.757411764704,28217.445652173912,21.0,8.0,1.0,5.0,40.0,19.0,0.2666666666666666,5814,12.0,0.8281018518518518,0.8395841451500965,0.6196527777777778,19.444444444444446,0.0,1.0,0.0
SYNID0100000485,ON,BRAMPTON,RETIRED,28.47,90.67,2.0,19.0,0.0,27.0,368832.0,13.0,652412.74,13660.444444444443,50185.595384615386,13.0,7.0,1.0,2.0,17.0,12.0,0.1578947368421052,5411,1.0,2.328542556980057,2.692904590087653,1.4628587962962962,20.0,0.0,0.0,0.0
SYNID0100000539,other,other,RETIRED,40.64,81.16,0.0,4.0,7.0,147.0,1024417.0,3.0,16498.0,6968.8231292517,5499.333333333333,40.0,11.0,1.0,26.0,113.0,36.0,0.1654676258992805,5814,0.0,0.6072309998757146,0.6696828817128406,0.3437731481481481,20.0,0.0,0.0,0.0
SYNID0100000932,ON,TORONTO,RETIRED,13.48,62.3,2.0,25.0,1.0,196.0,2757414.97,23.0,14581127.0,14068.443724489794,633962.0434782609,40.0,13.0,1.0,25.0,164.0,35.0,0.1957671957671957,5814,2.0,0.4192580381413524,0.4686915952513448,0.2390104166666666,24.200913242009133,1.0,0.0,0.0
SYNID0100001185,AB,EDMONTON,UNEMPLOYED,16.52,67.7,1.0,12.0,0.0,10.0,198256.0,13.0,845732.0,19825.6,65056.307692307695,5.0,6.0,1.0,1.0,7.0,6.0,0.25,5812,1.0,4.045406670875421,6.765574326755695,2.19566550925926,21.73913043478261,1.0,0.0,0.0
SYNID0100001300,AB,CALGARY,RETIRED,33.41,67.95,0.0,5.0,22.0,167.0,1428575.0,15.0,255025.0,8554.34131736527,17001.666666666668,39.0,13.0,1.0,21.0,134.0,42.0,0.1741935483870967,5814,0.0,0.4883108885819521,0.4818780944765825,0.3112152777777778,21.428571428571427,0.0,0.0,0.0
SYNID0100001310,other,other,SELF_EMPLOYED,10.26,51.98,0.0,0.0,0.0,3.0,31399.0,1.0,50135.0,10466.333333333334,50135.0,4.0,4.0,0.0,0.0,4.0,4.0,0.25,0,0.0,15.32116898148148,11.494060114888796,17.033657407407407,25.0,0.0,0.0,0.0
SYNID0100001952,ON,other,OTHER,11.01,28.31,0.0,25.0,21.0,46.0,652558.0,21.0,1122174.0,14186.04347826087,53436.857142857145,7.0,7.0,1.0,4.0,17.0,16.0,0.1904761904761904,5814,0.0,1.3676360830527496,1.7413546568429137,0.7479050925925926,19.402985074626866,0.0,0.0,0.0
SYNID0100002045,ON,other,RETIRED,25.68,67.27,0.0,9.0,0.0,112.0,1131261.0,5.0,548207.0,10100.544642857143,109641.4,36.0,11.0,1.0,12.0,95.0,36.0,0.1588785046728972,5814,0.0,0.7839343869731801,0.7234487894905879,0.6798090277777777,19.65811965811966,1.0,0.0,0.0
