customer_id,final_label
SYNID0100000167,0
SYNID0100000431,3
SYNID0100000485,0
SYNID0100000539,2
SYNID0100000932,2
SYNID0100001185,5
SYNID0100001300,5
SYNID0100001310,3
SYNID0100001952,0
SYNID0100002045,2
SYNID0100002163,2
SYNID0100002187,3
SYNID0100002198,5
SYNID0100002385,0
SYNID0100002875,3
SYNID0100003249,3
SYNID0100003319,0
SYNID0100003755,0
SYNID0100004490,3
SYNID0100004580,0
SYNID0100004593,2
SYNID0100004629,0
SYNID0100004657,0
SYNID0100004837,3
SYNID0100004848,2
SYNID0100005297,2
SYNID0100005641,3
SYNID0100005686,0
SYNID0100005856,0
SYNID0100006155,3
SYNID0100006219,0
SYNID0100006262,0
SYNID0100006348,0
SYNID0100006667,3
SYNID0100006800,2
SYNID0100006895,3
SYNID0100006941,2
SYNID0100007436,0
SYNID0100007570,2
SYNID0100007620,0
SYNID0100007638,0
SYNID0100008358,0
SYNID0100008611,2
SYNID0100008961,3
SYNID0100009174,2
SYNID0100009213,3
SYNID0100009417,3
SYNID0100009470,3
SYNID0100009541,2
SYNID0100009578,3
SYNID0100009762,0
SYNID0100009956,3
SYNID0100010089,0
SYNID0100010329,0
SYNID0100010571,2
SYNID0100010698,2
SYNID0100011209,2
SYNID0100011315,2
SYNID0100011481,5
SYNID0100011849,3
SYNID0100012045,5
SYNID0100012111,6
SYNID0100012205,3
SYNID0100012410,3
SYNID0100012464,3
SYNID0100012512,2
SYNID0100012539,3
SYNID0100013163,5
SYNID0100013722,2
SYNID0100013886,2
SYNID0100014085,3
SYNID0100014233,4
SYNID0100014489,0
SYNID0100014795,3
SYNID0100014851,2
SYNID0100015045,2
SYNID0100015109,3
SYNID0100015225,0
SYNID0100015975,0
SYNID0100016064,0
SYNID0100016314,3
SYNID0100016895,2
SYNID0100017219,0
SYNID0100017804,3
SYNID0100018428,2
SYNID0100018441,3
SYNID0100018558,3
SYNID0100018651,2
SYNID0100018816,0
SYNID0100018982,0
SYNID0100019186,0
SYNID0100019260,2
SYNID0100019419,3
SYNID0100019645,3
SYNID0100019726,2
SYNID0100019883,2
SYNID0100020142,3
SYNID0100020166,3
SYNID0100020197,0
SYNID0100020265,0
SYNID0100020731,2
SYNID0100020773,3
SYNID0100021218,0
SYNID0100021236,0
SYNID0100021299,3
SYNID0100021463,3
SYNID0100022238,5
SYNID0100022248,5
SYNID0100022308,4
SYNID0100022897,2
SYNID0100023259,4
SYNID0100023475,3
SYNID0100023734,0
SYNID0100023889,0
SYNID0100024328,0
SYNID0100024437,3
SYNID0100024598,5
SYNID0100024772,2
SYNID0100024936,4
SYNID0100025173,5
SYNID0100025567,0
SYNID0100025619,0
SYNID0100025622,2
SYNID0100025820,2
SYNID0100026243,0
SYNID0100026488,0
SYNID0100026603,2
SYNID0100026730,3
SYNID0100027385,3
SYNID0100028117,5
SYNID0100028203,3
SYNID0100028625,2
SYNID0100028682,2
SYNID0100028742,3
SYNID0100028784,3
SYNID0100028955,3
SYNID0100029550,0
SYNID0100029659,0
SYNID0100029977,5
SYNID0100030114,3
SYNID0100030522,3
SYNID0100030710,0
SYNID0100030983,3
SYNID0100030996,2
SYNID0100031148,0
SYNID0100031276,5
SYNID0100031448,5
SYNID0100031720,2
SYNID0100031724,2
SYNID0100031730,3
SYNID0100031829,4
SYNID0100032192,5
SYNID0100032279,5
SYNID0100032627,3
SYNID0100033027,2
SYNID0100033322,2
SYNID0100033763,0
SYNID0100033846,3
SYNID0100033968,2
SYNID0100035506,4
SYNID0100035641,2
SYNID0100035690,3
SYNID0100035703,6
SYNID0100036197,3
SYNID0100036671,5
SYNID0100036688,2
SYNID0100036773,3
SYNID0100036786,5
SYNID0100036935,0
SYNID0100037007,2
SYNID0100037208,2
SYNID0100037226,5
SYNID0100037366,3
SYNID0100037477,0
SYNID0100037509,4
SYNID0100037607,0
SYNID0100037666,3
SYNID0100037728,3
SYNID0100037869,2
SYNID0100037890,3
SYNID0100038038,2
SYNID0100038086,2
SYNID0100038539,0
SYNID0100038708,0
SYNID0100038801,0
SYNID0100038880,2
SYNID0100038978,2
SYNID0100039084,0
SYNID0100039312,3
SYNID0100039424,3
SYNID0100039780,3
SYNID0100040148,2
SYNID0100040316,0
SYNID0100040454,3
SYNID0100040792,5
SYNID0100040885,2
SYNID0100040970,0
SYNID0100041064,3
SYNID0100041327,5
SYNID0100041519,0
SYNID0100041539,3
SYNID0100041876,0
SYNID0100042124,3
SYNID0100042256,5
SYNID0100042517,2
SYNID0100042626,2
SYNID0100042902,2
SYNID0100042905,2
SYNID0100043003,0
SYNID0100043540,5
SYNID0100043914,6
SYNID0100044500,0
SYNID0100044704,2
SYNID0100045225,3
SYNID0100045411,3
SYNID0100045578,5
SYNID0100045811,2
SYNID0100046345,0
SYNID0100046511,3
SYNID0100046583,3
SYNID0100046681,0
SYNID0100046751,2
SYNID0100046933,0
SYNID0100047082,0
SYNID0100047241,0
SYNID0100047421,3
SYNID0100047746,0
SYNID0100047852,2
SYNID0100047938,3
SYNID0100048054,3
SYNID0100048110,3
SYNID0100048201,0
SYNID0100048220,3
SYNID0100048513,6
SYNID0100048554,0
SYNID0100048602,3
SYNID0100048631,0
SYNID0100048646,2
SYNID0100049026,0
SYNID0100049262,5
SYNID0100049538,2
SYNID0100049761,2
SYNID0100049825,3
SYNID0100050100,0
SYNID0100050622,2
SYNID0100050795,3
SYNID0100050922,3
SYNID0100051035,3
SYNID0100051037,2
SYNID0100051071,2
SYNID0100051199,2
SYNID0100051414,0
SYNID0100051424,2
SYNID0100051465,5
SYNID0100052024,3
SYNID0100052418,3
SYNID0100052442,3
SYNID0100052942,5
SYNID0100053138,0
SYNID0100053671,0
SYNID0100053896,2
SYNID0100054434,2
SYNID0100054859,0
SYNID0100054894,2
SYNID0100055597,3
SYNID0100055665,2
SYNID0100055741,0
SYNID0100056156,2
SYNID0100056283,2
SYNID0100056875,2
SYNID0100057662,3
SYNID0100058090,0
SYNID0100058456,3
SYNID0100058587,0
SYNID0100059315,0
SYNID0100059367,2
SYNID0100059490,3
SYNID0100059769,3
SYNID0100060456,0
SYNID0100060458,3
SYNID0100060562,3
SYNID0100060727,3
