customer_id,kyc_type,province,city,account_age,birth_business_age,total_transaction_count,transaction_count_ABM,transaction_count_Card,transaction_count_Cheque,transaction_count_EFT,transaction_count_EMT,debit_transaction_amount,credit_transaction_amount,average_debit_transaction_amount,average_credit_transaction_amount,unique_transaction_cities,unique_transaction_provinces,multi_country_transactions,card_ecommerce_count,card_non_ecommerce_count,card_ecommerce_to_nonecommerce_ratio,card_mcc_diversity_count,card_top_mcc_weight,card_top_mcc,Averagetime_between_transaction_day,std_time_between_transactions,median_time_between_transactions,pct_transactions_top10_busiest_days,economic_role,credit_share,ABM_cash_weight
SYNID0100000167,individual,ON,TORONTO,14.28,53.92,18.0,0.0,0.0,1.0,17.0,0.0,169868.0,986385.0,21233.5,98638.5,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,N/A,5.255900054466227,5.064565426042951,3.107783564814815,11.11111111111111,INDIVIDUAL_10019,0.5555555555555556,0.0
SYNID0100000431,individual,other,other,7.58,37.79,108.0,14.0,45.0,0.0,20.0,28.0,1149349.38,649001.25,13521.757411764704,28217.445652173912,21.0,8.0,1.0,5.0,40.0,0.125,19.0,0.2666666666666666,5814,0.8281018518518518,0.8395841451500926,0.6108217592592593,19.444444444444446,INDIVIDUAL_72310,0.21296296296296297,0.8571428571428571
SYNID0100000485,individual,ON,BRAMPTON,28.47,90.67,40.0,2.0,19.0,0.0,19.0,0.0,368832.0,652412.74,13660.444444444443,50185.595384615386,13.0,7.0,1.0,2.0,17.0,0.1176470588235294,12.0,0.1578947368421052,5411,2.328542556980046,2.6929045900876503,1.3955034722222222,20.0,INDIVIDUAL_RETIRED,0.325,0.5
SYNID0100000539,individual,other,other,40.64,81.16,150.0,0.0,139.0,0.0,4.0,7.0,1024417.0,16498.0,6968.8231292517,5499.333333333333,40.0,11.0,1.0,26.0,113.0,0.2300884955752212,36.0,0.1654676258992805,5814,0.607230999875706,0.6696828817128356,0.3430613425925926,20.0,INDIVIDUAL_RETIRED,0.02,0.0
SYNID0100000932,individual,ON,TORONTO,13.48,62.3,219.0,2.0,189.0,2.0,25.0,1.0,2757414.97,14581127.0,14068.443724489794,633962.0434782609,40.0,13.0,1.0,25.0,164.0,0.1524390243902439,35.0,0.1957671957671957,5814,0.4192580381413426,0.4686915952513426,0.238912037037037,24.200913242009133,INDIVIDUAL_RETIRED,0.1050228310502283,1.0
SYNID0100001185,individual,AB,EDMONTON,16.52,67.7,23.0,1.0,8.0,2.0,12.0,0.0,198256.0,845732.0,19825.6,65056.307692307695,5.0,6.0,1.0,1.0,7.0,0.1428571428571428,6.0,0.25,5812,4.045406670875416,6.765574326755695,2.14,21.73913043478261,INDIVIDUAL_UNEMPLOYED,0.5652173913043478,1.0
SYNID0100001300,individual,AB,CALGARY,33.41,67.95,182.0,0.0,155.0,0.0,5.0,22.0,1428575.0,255025.0,8554.34131736527,17001.666666666668,39.0,13.0,1.0,21.0,134.0,0.1567164179104477,42.0,0.1741935483870967,5814,0.4883108885819444,0.4818780944765741,0.3091898148148148,21.428571428571427,INDIVIDUAL_RETIRED,0.08241758241758242,0.0
SYNID0100001310,individual,other,other,10.26,51.98,4.0,0.0,4.0,0.0,0.0,0.0,31399.0,50135.0,10466.333333333334,50135.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.25,0,15.32116898148148,11.494060114888786,10.050300925925926,25.0,INDIVIDUAL_SELF_EMPLOYED,0.25,0.0
SYNID0100001952,individual,ON,SUDBURY,11.01,28.31,67.0,0.0,21.0,0.0,25.0,21.0,652558.0,1122174.0,14186.04347826087,53436.857142857145,7.0,7.0,1.0,4.0,17.0,0.2352941176470588,16.0,0.1904761904761904,5814,1.367636083052743,1.741354656842905,0.7414467592592593,19.402985074626866,INDIVIDUAL_70010,0.31343283582089554,0.0
SYNID0100002045,individual,ON,KINGSTON,25.68,67.27,117.0,0.0,107.0,1.0,9.0,0.0,1131261.0,548207.0,10100.544642857143,109641.4,36.0,11.0,1.0,12.0,95.0,0.1263157894736842,36.0,0.1588785046728972,5814,0.7839343869731713,0.7234487894905787,0.6776041666666667,19.65811965811966,INDIVIDUAL_RETIRED,0.042735042735042736,0.0
SYNID0100002163,individual,other,other,25.03,77.11,274.0,5.0,204.0,6.0,26.0,33.0,11024750.51,2995719.0,46715.04453389831,78834.71052631579,42.0,11.0,1.0,33.0,171.0,0.1929824561403508,38.0,0.1911764705882352,5814,0.3325313305521528,0.3746899622874537,0.1907638888888889,21.532846715328464,INDIVIDUAL_RETIRED,0.1386861313868613,1.0
SYNID0100002187,individual,other,other,21.82,39.62,40.0,4.0,17.0,0.0,19.0,0.0,235063.82,1045487.0,7582.703870967742,116165.22222222222,9.0,7.0,1.0,5.0,12.0,0.4166666666666667,11.0,0.2352941176470588,5411,2.228512879867037,2.203289637649653,1.4011863425925926,22.5,INDIVIDUAL_UNEMPLOYED,0.225,1.0
SYNID0100002198,individual,AB,other,3.08,42.39,41.0,0.0,15.0,0.0,25.0,1.0,1053724.0,1662758.0,42148.96,103922.375,8.0,5.0,1.0,5.0,10.0,0.5,8.0,0.2666666666666666,5814,2.209449074074074,2.2313703638399653,1.0538078703703704,24.390243902439025,INDIVIDUAL_UNEMPLOYED,0.3902439024390244,0.0
SYNID0100002385,individual,ON,MISSISSAUGA,8.18,27.29,58.0,0.0,17.0,0.0,38.0,3.0,667926.0,1514310.0,18052.054054054053,72110.0,10.0,7.0,1.0,4.0,13.0,0.3076923076923077,12.0,0.1764705882352941,5310,1.582209632878484,1.4879022558177546,1.0302777777777778,20.689655172413797,INDIVIDUAL_OTHER,0.3620689655172414,0.0
SYNID0100002875,individual,other,other,14.94,72.96,47.0,0.0,0.0,1.0,46.0,0.0,734437.0,1720627.0,22951.15625,114708.46666666666,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,N/A,1.9628655897745488,2.566038409057326,0.654074074074074,19.148936170212767,INDIVIDUAL_RETIRED,0.3191489361702128,0.0
SYNID0100003249,individual,other,other,6.41,33.18,22.0,3.0,12.0,0.0,1.0,6.0,281207.35,5559.0,14060.367499999998,2779.5,7.0,5.0,1.0,3.0,9.0,0.3333333333333333,10.0,0.1666666666666666,5300,4.2540994268077545,4.321763387597801,2.967048611111111,18.181818181818183,INDIVIDUAL_75200,0.09090909090909091,1.0
SYNID0100003319,individual,ON,BARRIE,13.05,18.72,70.0,2.0,48.0,0.0,12.0,8.0,799348.7,470268.0,12892.720967741934,58783.5,21.0,9.0,1.0,8.0,40.0,0.2,19.0,0.1666666666666666,5411,1.279288278314537,1.4482510346628936,0.8597395833333333,24.285714285714285,INDIVIDUAL_UNEMPLOYED,0.11428571428571428,0.5
SYNID0100003755,individual,ON,WOODBRIDGE,2.46,31.41,56.0,4.0,34.0,0.0,6.0,12.0,315519.49,554625.0,6713.180638297872,61625.0,15.0,8.0,1.0,5.0,29.0,0.1724137931034483,19.0,0.1764705882352941,5814,1.618989898989896,1.5116261332483218,0.9935358796296296,21.428571428571427,INDIVIDUAL_STUDENT,0.16071428571428573,1.0
SYNID0100004490,individual,BC,SURREY,4.14,33.37,39.0,1.0,18.0,3.0,11.0,6.0,212048.0,676008.0,7853.62962962963,56334.0,7.0,7.0,1.0,6.0,12.0,0.5,11.0,0.2222222222222222,5411,2.327801839668611,2.3734293902804167,0.9475925925925924,17.94871794871795,INDIVIDUAL_14100,0.3076923076923077,1.0
SYNID0100004580,individual,ON,ST CATHARINES,29.74,40.99,58.0,4.0,17.0,0.0,18.0,19.0,523447.0,1968659.0,13774.921052631578,98432.95,10.0,7.0,1.0,0.0,17.0,0.0,12.0,0.1764705882352941,5310,1.5686632959714004,1.3124468490969212,1.320017361111111,22.41379310344828,INDIVIDUAL_63101,0.3448275862068966,1.0
SYNID0100004593,individual,ON,other,4.9,55.14,346.0,0.0,287.0,3.0,14.0,42.0,3367978.0,931787.0,10591.125786163522,33278.107142857145,55.0,13.0,1.0,50.0,237.0,0.2109704641350211,46.0,0.181184668989547,5814,0.2647555354267245,0.3105498896262731,0.1354166666666666,19.942196531791907,INDIVIDUAL_UNEMPLOYED,0.08092485549132948,0.0
SYNID0100004629,individual,ON,LONDON,25.69,43.26,18.0,0.0,0.0,1.0,0.0,17.0,138301.0,447024.0,19757.285714285717,40638.545454545456,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,N/A,4.612025462962963,5.442615654499804,2.3235185185185183,16.666666666666664,INDIVIDUAL_SELF_EMPLOYED,0.6111111111111112,0.0
SYNID0100004657,individual,ON,WINDSOR,9.61,45.76,28.0,0.0,0.0,0.0,22.0,6.0,573228.0,1260558.0,44094.46153846154,84037.2,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,N/A,3.196648233882025,3.7752612100842815,1.117505787037037,14.285714285714285,INDIVIDUAL_OTHER,0.5357142857142857,0.0
SYNID0100004837,individual,other,other,41.48,69.72,68.0,1.0,2.0,0.0,6.0,59.0,1114264.0,1682749.0,32772.470588235294,49492.617647058825,2.0,3.0,0.0,0.0,2.0,0.0,2.0,0.5,4121,1.361785344112766,1.5452185848861344,0.7769965277777777,22.058823529411764,INDIVIDUAL_RETIRED,0.5,1.0
SYNID0100004848,individual,other,other,1.28,21.78,79.0,0.0,78.0,0.0,0.0,1.0,681023.0,11161.0,8731.064102564103,11161.0,27.0,11.0,1.0,10.0,68.0,0.1470588235294117,27.0,0.1666666666666666,5411,1.122887879867037,1.0696553447883332,0.7909375,20.253164556962027,INDIVIDUAL_STUDENT,0.012658227848101266,0.0
SYNID0100005297,individual,ON,MISSISSAUGA,21.28,50.95,279.0,2.0,254.0,0.0,14.0,9.0,1755169.29,2413200.0,6750.651115384616,127010.52631578948,52.0,15.0,1.0,44.0,210.0,0.2095238095238095,44.0,0.1614173228346456,5814,0.3287523314681481,0.3830765771184606,0.172974537037037,21.14695340501792,INDIVIDUAL_75200,0.06810035842293907,1.0
SYNID0100005641,individual,other,other,25.97,55.91,58.0,2.0,26.0,1.0,28.0,1.0,327402.94,1739160.0,9094.52611111111,79052.72727272728,12.0,7.0,1.0,3.0,23.0,0.1304347826086956,17.0,0.1538461538461538,5411,1.5840669671864815,1.3348188955711688,1.1982638888888888,24.13793103448276,INDIVIDUAL_21321,0.3793103448275862,1.0
