customer_id,kyc_type,province,city,industry_code,occupation_code,sales_cents,account_age,birth_business_age,total_transaction_count,transaction_count_ABM,transaction_count_Card,transaction_count_Cheque,transaction_count_EFT,transaction_count_EMT,transaction_count_Western Union,transaction_count_Wire,debit_transaction_count,debit_transaction_amount,credit_transaction_count,credit_transaction_amount,average_debit_transaction_amount,average_credit_transaction_amount,unique_transaction_cities,unique_transaction_provinces,multi_country_transactions,card_transaction_count,card_ecommerce_count,card_non_ecommerce_count,card_ecommerce_to_nonecommerce_ratio,card_mcc_diversity_count,card_top_mcc_weight,card_top_mcc,card_second_mcc,abm_transaction_count,abm_cash_count,abm_non_cash_count,abm_cash_to_non_cash_ratio,Debit_Amount_Total,Credit_Amount_Total,Averagetime_between_alltransaction,std_time_between_transactions,median_time_between_transactions,pct_transactions_top10_busiest_days
SYNID0100000167,individual,ON,TORONTO,,10019,,14.28,53.92,18,0,0,1,17,0,0,0,8.0,169868.0,10.0,986385.0,21233.5,98638.5,0,0,0,,,,,,,,,,,,,169868.0,986385.0,5.255900054466231,5.06456542604296,3.519861111111111,11.11111111111111
SYNID0100000431,individual,other,other,,72310,,7.58,37.79,108,14,45,0,20,28,1,0,85.0,1149349.38,23.0,649001.25,13521.757411764705,28217.445652173912,21,8,1,45.0,5.0,40.0,0.125,19.0,0.26666666666666666,5814,5411,14.0,12.0,2.0,6.0,1149349.38,649001.25,0.8281018518518518,0.8395841451500965,0.6196527777777778,19.444444444444446
SYNID0100000485,individual,ON,BRAMPTON,,RETIRED,,28.47,90.67,40,2,19,0,19,0,0,0,27.0,368832.0,13.0,652412.74,13660.444444444445,50185.595384615386,13,7,1,19.0,2.0,17.0,0.11764705882352941,12.0,0.15789473684210525,5411,5814,2.0,1.0,1.0,1.0,368832.0,652412.74,2.328542556980057,2.692904590087653,1.4628587962962962,20.0
SYNID0100000539,individual,other,other,,RETIRED,,40.64,81.16,150,0,139,0,4,7,0,0,147.0,1024417.0,3.0,16498.0,6968.8231292517,5499.333333333333,40,11,1,139.0,26.0,113.0,0.23008849557522124,36.0,0.16546762589928057,5814,5411,,,,,1024417.0,16498.0,0.6072309998757146,0.6696828817128406,0.34377314814814813,20.0
SYNID0100000932,individual,ON,TORONTO,,RETIRED,,13.48,62.3,219,2,189,2,25,1,0,0,196.0,2757414.9699999997,23.0,14581127.0,14068.443724489794,633962.0434782609,40,13,1,189.0,25.0,164.0,0.1524390243902439,35.0,0.19576719576719576,5814,5411,2.0,2.0,0.0,,2757414.9699999997,14581127.0,0.4192580381413524,0.46869159525134485,0.23901041666666667,24.200913242009133
SYNID0100001185,individual,AB,EDMONTON,,UNEMPLOYED,,16.52,67.7,23,1,8,2,12,0,0,0,10.0,198256.0,13.0,845732.0,19825.6,65056.307692307695,5,6,1,8.0,1.0,7.0,0.14285714285714285,6.0,0.25,5812,5814,1.0,1.0,0.0,,198256.0,845732.0,4.045406670875421,6.765574326755695,2.1956655092592596,21.73913043478261
SYNID0100001300,individual,AB,CALGARY,,RETIRED,,33.41,67.95,182,0,155,0,5,22,0,0,167.0,1428575.0,15.0,255025.0,8554.34131736527,17001.666666666668,39,13,1,155.0,21.0,134.0,0.15671641791044777,42.0,0.17419354838709677,5814,5812,,,,,1428575.0,255025.0,0.4883108885819521,0.4818780944765825,0.3112152777777778,21.428571428571427
SYNID0100001310,individual,other,other,,SELF_EMPLOYED,,10.26,51.98,4,0,4,0,0,0,0,0,3.0,31399.0,1.0,50135.0,10466.333333333334,50135.0,4,4,0,4.0,0.0,4.0,0.0,4.0,0.25,0,5912,,,,,31399.0,50135.0,15.32116898148148,11.494060114888795,17.033657407407407,25.0
SYNID0100001952,individual,ON,SUDBURY,,70010,,11.01,28.31,67,0,21,0,25,21,0,0,46.0,652558.0,21.0,1122174.0,14186.04347826087,53436.857142857145,7,7,1,21.0,4.0,17.0,0.23529411764705882,16.0,0.19047619047619047,5814,5310,,,,,652558.0,1122174.0,1.3676360830527496,1.7413546568429135,0.7479050925925926,19.402985074626866
SYNID0100002045,individual,ON,KINGSTON,,RETIRED,,25.68,67.27,117,0,107,1,9,0,0,0,112.0,1131261.0,5.0,548207.0,10100.544642857143,109641.4,36,11,1,107.0,12.0,95.0,0.12631578947368421,36.0,0.1588785046728972,5814,5411,,,,,1131261.0,548207.0,0.7839343869731801,0.7234487894905879,0.6798090277777777,19.65811965811966
